FanID,Institution,EducationStatus,EducationDate,Degree,DegreeType,College,Division,Department
1329,Florida State University,Graduated,2005-08-12T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Management,Management
1352,Florida State University,Graduated,2014-05-02T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences","Nutrition, Food & Exercise Sci",Exercise Science
1355,(Unknown),Graduated,1973-08-01T00:00:00.000000000,Master of Public Administration,,,,
1355,Florida State University,Graduated,1962-06-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Social Sciences,International Affairs,International Affairs
1377,Florida State University,Graduated,2008-12-13T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Economics,Applied Economics
1413,Florida State University,Graduated,1993-12-18T00:00:00.000000000,Master of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
1413,Florida State University,Graduated,1992-04-25T00:00:00.000000000,Bachelor of Science,PRIMARY,Criminology & Criminal Justice,Criminology,Criminology
1506,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Business,Pre-Law
1506,Florida State University,Graduated,1976-06-01T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
1506,Florida State University,Graduated,2013-12-13T00:00:00.000000000,Doctor of Philosophy,PRIMARY,Social Sciences,Public Administration,Public Administration
1542,Florida State University,Incomplete,,,,,,
1548,Florida State University,Graduated,1980-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Fine Arts,Interior Design,Interior Design
1562,Florida State University,Graduated,2007-04-28T00:00:00.000000000,Bachelor of Science,SECONDARY,Arts & Sciences,History,History
1562,Florida State University,Graduated,2007-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,Social Sciences,Political Science,Political Science
1562,Florida State University,Graduated,1976-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
1599,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Sports Management,Physical Education
1607,Florida State University,Graduated,1956-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
1622,Florida State University,Graduated,1958-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
1627,Florida State University,Graduated,2007-08-10T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Multinational Business Op,Multinational Business Op
1627,Florida State University,Graduated,2007-08-10T00:00:00.000000000,Bachelor of Science,SECONDARY,Business,Finance,Finance
1627,Florida State University,Graduated,2011-08-13T00:00:00.000000000,Master of Business Administration,PRIMARY,Business,Business Administration,Business Administration
1634,Florida State University,Graduated,1968-06-01T00:00:00.000000000,Bachelor of Arts,PRIMARY,Arts & Sciences,Arts & Sciences,Arts and Sciences
1634,Florida State University,Graduated,1971-06-01T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
1658,Florida State University,Graduated,2008-12-13T00:00:00.000000000,Master of Science,PRIMARY,"Education, Health, and Human Sciences",Family & Child Sciences,Family and Child Sciences
1658,Florida State University,Graduated,2007-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,"Education, Health, and Human Sciences",Teacher Education,Elementary Education
1672,Florida State University,Graduated,1972-06-01T00:00:00.000000000,Bachelor of Social Welfare,PRIMARY,Social Work,Social Work,Social Work
1788,Florida State University,Graduated,2006-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Finance,Finance
1788,Florida State University,Graduated,2006-04-29T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
1797,Florida State University,Graduated,1973-06-01T00:00:00.000000000,Juris Doctor,PRIMARY,College of Law,Law School,Law
1797,Florida State University,Graduated,1970-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Marketing,Marketing
1797,New York University,Graduated,1978-01-01T00:00:00.000000000,,,,,
1800,Florida State University,Graduated,2013-08-03T00:00:00.000000000,Master of Accounting,PRIMARY,Business,Accounting,Taxation
1800,Florida State University,Graduated,2012-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Accounting,Accounting
1802,Florida State University,Graduated,2002-04-27T00:00:00.000000000,Bachelor of Arts,PRIMARY,Arts & Sciences,History,History
1813,Florida State University,Graduated,2001-04-28T00:00:00.000000000,Bachelor of Science,PRIMARY,Communication & Information,Communication,General Communication
1833,Florida State University,Graduated,1981-06-01T00:00:00.000000000,Bachelor of Science,PRIMARY,Business,Management,Management
