FanID,IWave_Properties,IWave_PropertiesValue,IWave_AnnualCapacity,IWave_AnnualCapacityTargetProduction
3163,0.0,,,
3171,0.0,,50000.0,8500.0
3178,0.0,,,
3208,1.0,290300.0,609.0,103.53
3230,1.0,342500.0,3000.0,510.0
3237,2.0,691700.0,4842.0,823.14
3239,0.0,,,
3255,1.0,289300.0,578.0,98.26
3274,1.0,284800.0,569.0,96.73
3277,0.0,,,
3294,0.0,,,
3320,1.0,262700.0,551.0,93.67
3343,0.0,,,
3354,1.0,501100.0,5011.0,851.87
3387,1.0,333300.0,3000.0,510.0
3391,0.0,,3500.0,595.0
3395,0.0,,,
3421,0.0,,,
3441,1.0,403400.0,4034.0,685.78
3442,1.0,284600.0,597.0,101.49
3448,1.0,303000.0,2750.0,467.5
3467,0.0,,,
3476,1.0,258601.0,517.0,87.89
3482,1.0,261238.0,3000.0,510.0
3483,0.0,,,
3485,0.0,,,
3508,1.0,9000.0,3000.0,510.0
3512,1.0,386400.0,3000.0,510.0
3518,0.0,,,
3525,0.0,,1750.0,297.5
3528,0.0,,,
3536,0.0,,7500.0,1275.0
3562,0.0,,,
3563,0.0,,7500.0,1275.0
3613,1.0,250140.0,1250.0,212.5
3624,1.0,683100.0,7500.0,1275.0
3628,1.0,309781.0,3097.0,526.49
3631,0.0,,,
3638,1.0,375700.0,751.0,127.67
3639,1.0,1020100.0,10201.0,1734.17
3644,0.0,,,
3651,0.0,,,
3658,0.0,,,
3661,3.0,2738900.0,47440.0,8064.8
3665,0.0,,,
3668,1.0,387300.0,3000.0,510.0
3671,0.0,,11250.0,1912.5
3677,4.0,1754345.0,21139.0,3593.63
3678,0.0,,,
3681,0.0,,,
3689,0.0,,,
3690,1.0,1241600.0,12416.0,2110.72
3695,1.0,221800.0,465.0,79.05
3700,0.0,,,
3701,1.0,391400.0,3914.0,665.38
3710,3.0,8338500.0,164971.0,28045.07
3730,0.0,,,
3732,0.0,,,
3735,1.0,418800.0,4188.0,711.96
3738,0.0,,7500.0,1275.0
3742,1.0,389500.0,3500.0,595.0
3745,1.0,390700.0,3907.0,664.19
3749,1.0,299300.0,628.0,106.76
3751,1.0,389500.0,779.0,132.43
3759,1.0,727000.0,11250.0,1912.5
3760,0.0,,,
3764,1.0,298300.0,2500.0,425.0
3765,0.0,,,
3766,1.0,196600.0,393.0,66.81
3767,1.0,108100.0,227.0,38.59
3771,0.0,,,
3777,1.0,495500.0,2477.0,421.09
3801,1.0,1260600.0,19854.0,3375.18
3809,6.0,1305450.0,17866.0,3037.22
3848,0.0,,7500.0,1275.0
3876,0.0,,1400.0,238.0
3890,0.0,,,
3900,1.0,702403.0,7375.0,1253.75
3902,1.0,442320.0,7500.0,1275.0
3906,0.0,,,
3909,1.0,323000.0,646.0,109.82
3914,0.0,,,
3930,1.0,376900.0,1978.0,336.26
3944,1.0,334000.0,3340.0,567.8
3951,0.0,,,
3952,0.0,,7500.0,1275.0
3967,1.0,197800.0,415.0,70.55
3968,1.0,580100.0,5801.0,986.17
3987,0.0,,,
3996,1.0,464400.0,4876.0,828.92
4005,0.0,,,
4027,1.0,152800.0,320.0,54.4
4034,1.0,471100.0,4711.0,800.87
4040,1.0,286900.0,2750.0,467.5
4061,1.0,64300.0,135.0,22.95
4065,1.0,1102500.0,11576.0,1967.92
4067,1.0,811300.0,11250.0,1912.5
4070,1.0,1328700.0,13287.0,2258.79
4076,2.0,2616600.0,45261.0,7694.37
4092,1.0,268500.0,700.0,119.0
4099,0.0,,,
4101,1.0,553700.0,5537.0,941.29
4105,2.0,3560035.0,57649.0,9800.33
4107,1.0,177200.0,1500.0,255.0
4109,1.0,456700.0,4795.0,815.15
4121,0.0,,,
4122,1.0,417200.0,4380.0,744.6
4124,1.0,690100.0,7500.0,1275.0
4125,1.0,790200.0,7902.0,1343.34
4135,0.0,,,
4136,1.0,224300.0,1121.0,190.57
4139,1.0,396900.0,3969.0,674.73
4148,3.0,1256440.0,17423.0,2961.91
4165,0.0,,,
4168,1.0,597600.0,5976.0,1015.92
4174,1.0,820300.0,11250.0,1912.5
4186,0.0,,,
4187,1.0,601700.0,7500.0,1275.0
4204,1.0,535100.0,5351.0,909.67
4206,1.0,527900.0,5279.0,897.43
4207,4.0,14465547.0,293944.0,49970.48
4213,0.0,,,
4222,1.0,779600.0,7796.0,1325.32
4229,0.0,,,
4238,0.0,,3500.0,595.0
4273,0.0,,,
4292,1.0,603800.0,6340.0,1077.8
4295,0.0,,,
4300,1.0,275200.0,2889.0,491.13
4307,1.0,1.0,0.0,0.0
4311,0.0,,2750.0,467.5
4312,2.0,830165.0,12311.0,2092.87
4318,,,,
4322,0.0,,30000.0,5100.0
4325,0.0,,,
4326,0.0,,,
4335,0.0,,,
4362,1.0,395400.0,3954.0,672.18
4364,1.0,116000.0,500.0,85.0
4378,0.0,,,
4382,0.0,,,
4386,1.0,1036600.0,10366.0,1762.22
4391,0.0,,,
4394,1.0,1100200.0,11552.0,1963.84
4417,0.0,,,
4420,1.0,305200.0,3000.0,510.0
4428,2.0,693800.0,11100.0,1887.0
4432,0.0,,3500.0,595.0
4448,0.0,,,
4456,3.0,667290.0,7500.0,1275.0
4458,2.0,1773606.0,27737.0,4715.29
4468,0.0,,,
4481,0.0,,7500.0,1275.0
4489,1.0,216500.0,2273.0,386.41
4497,1.0,270300.0,2000.0,340.0
4503,1.0,383900.0,767.0,130.39
4511,1.0,1025200.0,10252.0,1742.84
4514,1.0,734800.0,7348.0,1249.16
4529,0.0,,,
4530,0.0,,,
4533,1.0,20399952.0,321299.0,54620.83
4534,0.0,,,
4537,1.0,221200.0,442.0,75.14
4538,0.0,,,
4541,0.0,,,
4542,0.0,,,
4545,1.0,20399952.0,321299.0,54620.83
4549,0.0,,,
4550,1.0,278600.0,585.0,99.45
4552,0.0,,,
4554,0.0,,,
4555,0.0,,,
4557,0.0,,,
4558,1.0,657514.0,13150.0,2235.5
