FanID,DriveYear,predicted_amount,pct_years_met_commitment,high_amount,high_reliability,quadrant
5401,2024,534.6419,100.0,False,True,Base Estable
5406,2016,344.07242,100.0,False,True,Base Estable
5420,2021,155.11314,100.0,False,True,Base Estable
5424,2024,7277.792,100.0,True,True,VIP — Prioridad Máxima
5427,2017,5188.1445,100.0,True,True,VIP — Prioridad Máxima
5464,2017,285.70612,100.0,False,True,Base Estable
5525,2021,408.751,100.0,False,True,Base Estable
5543,2019,574.4949,100.0,False,True,Base Estable
5559,2024,1160.9325,100.0,False,True,Base Estable
5674,2019,73.47574,100.0,False,True,Base Estable
5721,2024,512.2574,100.0,False,True,Base Estable
5787,2024,722.918,100.0,False,True,Base Estable
5801,2016,995.2216,100.0,False,True,Base Estable
5952,2018,1307.6915,100.0,True,True,VIP — Prioridad Máxima
5953,2024,2637.26,100.0,True,True,VIP — Prioridad Máxima
5982,2023,763.6332,100.0,False,True,Base Estable
6017,2024,6564.7017,100.0,True,True,VIP — Prioridad Máxima
6035,2024,659.1455,100.0,False,True,Base Estable
6119,2017,439.64862,100.0,False,True,Base Estable
6134,2024,610.3936,100.0,False,True,Base Estable
6150,2022,117.84879,100.0,False,True,Base Estable
6175,2024,7734.5864,88.88888888888889,True,False,Alto Potencial — Requiere Seguimiento
6176,2022,878.35913,100.0,False,True,Base Estable
6189,2017,1058.9467,100.0,False,True,Base Estable
6267,2024,1110.0068,100.0,False,True,Base Estable
6270,2024,1252.1077,80.0,False,False,Baja Prioridad
6298,2024,164.41573,100.0,False,True,Base Estable
6301,2017,1467.6117,100.0,True,True,VIP — Prioridad Máxima
6319,2024,267.65054,100.0,False,True,Base Estable
6362,2018,369.85233,100.0,False,True,Base Estable
6396,2023,138.18246,75.0,False,False,Baja Prioridad
6440,2023,183.16696,87.5,False,False,Baja Prioridad
6448,2024,10013.622,100.0,True,True,VIP — Prioridad Máxima
6488,2024,1551.0671,100.0,True,True,VIP — Prioridad Máxima
6498,2021,397.01163,100.0,False,True,Base Estable
6512,2017,725.09534,100.0,False,True,Base Estable
6570,2024,630.7495,100.0,False,True,Base Estable
6597,2024,1639.4958,100.0,True,True,VIP — Prioridad Máxima
6614,2024,1117.2484,100.0,False,True,Base Estable
6650,2016,133.00719,100.0,False,True,Base Estable
6675,2024,1319.8552,100.0,True,True,VIP — Prioridad Máxima
6686,2022,3667.7117,100.0,True,True,VIP — Prioridad Máxima
6692,2024,6534.067,100.0,True,True,VIP — Prioridad Máxima
6694,2018,1016.4682,100.0,False,True,Base Estable
6712,2023,166.73239,100.0,False,True,Base Estable
6715,2017,317.78513,100.0,False,True,Base Estable
6797,2022,146.01341,100.0,False,True,Base Estable
6821,2022,456.4694,100.0,False,True,Base Estable
6836,2018,12212.643,100.0,True,True,VIP — Prioridad Máxima
6857,2024,465.81705,100.0,False,True,Base Estable
6873,2025,248.13892,100.0,False,True,Base Estable
6898,2018,591.39966,100.0,False,True,Base Estable
6906,2014,1009.1112,,False,False,Baja Prioridad
6907,2019,128.41722,100.0,False,True,Base Estable
6953,2016,361.421,100.0,False,True,Base Estable
6979,2021,682.0626,100.0,False,True,Base Estable
6984,2024,4069.8938,100.0,True,True,VIP — Prioridad Máxima
7020,2024,892.84784,100.0,False,True,Base Estable
7048,2024,2739.204,100.0,True,True,VIP — Prioridad Máxima
7077,2023,3170.8518,100.0,True,True,VIP — Prioridad Máxima
7079,2024,1877.2047,100.0,True,True,VIP — Prioridad Máxima
7106,2024,168.20503,100.0,False,True,Base Estable
7112,2019,352.45828,100.0,False,True,Base Estable
7120,2018,369.59546,100.0,False,True,Base Estable
7125,2024,90.74714,88.88888888888889,False,False,Baja Prioridad
7134,2024,6220.9277,100.0,True,True,VIP — Prioridad Máxima
7158,2021,114.85632,100.0,False,True,Base Estable
7203,2025,268.91403,100.0,False,True,Base Estable
7223,2019,378.99854,75.0,False,False,Baja Prioridad
7253,2024,14936.719,100.0,True,True,VIP — Prioridad Máxima
7256,2024,7126.0156,100.0,True,True,VIP — Prioridad Máxima
