FanID,Board,Role,StartDate,EndDate,Current
292609432,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1978-12-31T00:00:00.000000000,true
292609432,Seminole Boosters Board of Directors,Chair-Elect,1980-01-01T00:00:00.000000000,1980-12-31T00:00:00.000000000,true
292609432,Seminole Boosters Board of Directors,Past Chairman,1982-01-01T00:00:00.000000000,,true
292609432,Seminole Boosters Board of Directors,Treasurer,1979-01-01T00:00:00.000000000,1979-12-31T00:00:00.000000000,true
106458622,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
106458622,Seminole Boosters Board of Directors,At-Large,1987-01-01T00:00:00.000000000,1989-12-31T00:00:00.000000000,false
23457,Seminole Boosters Board of Directors,At-Large,1981-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,true
23457,Seminole Boosters Board of Directors,Chair-Elect,1987-01-01T00:00:00.000000000,1987-12-31T00:00:00.000000000,true
23457,Seminole Boosters Board of Directors,Ex-Officio,1986-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,true
23457,Seminole Boosters Board of Directors,Past Chairman,1989-01-01T00:00:00.000000000,,true
465121,Seminole Boosters Board of Directors,At-Large,2017-07-01T00:00:00.000000000,2023-06-30T00:00:00.000000000,false
696149,Seminole Boosters Board of Directors,At-Large,1990-01-01T00:00:00.000000000,1992-12-31T00:00:00.000000000,false
696149,Seminole Boosters Board of Directors,At-Large,1993-01-01T00:00:00.000000000,1995-12-31T00:00:00.000000000,false
520381,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
520381,Seminole Boosters Board of Directors,At-Large,1991-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,false
520381,Seminole Boosters Board of Directors,Ex-Officio,2006-01-01T00:00:00.000000000,2007-06-30T00:00:00.000000000,false
477212,Seminole Boosters Board of Directors,At-Large,2010-07-01T00:00:00.000000000,2013-06-30T00:00:00.000000000,false
477212,Seminole Boosters Board of Directors,At-Large,2013-07-01T00:00:00.000000000,2016-06-30T00:00:00.000000000,false
17569,Seminole Boosters Board of Directors,At-Large,1983-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,false
106458555,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
106458555,Seminole Boosters Board of Directors,At-Large,1991-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,false
556567,Seminole Boosters Board of Directors,Ex-Officio,2000-01-01T00:00:00.000000000,2000-12-31T00:00:00.000000000,false
744221,Seminole Boosters Board of Directors,At-Large,1999-01-01T00:00:00.000000000,2001-12-31T00:00:00.000000000,false
744221,Seminole Boosters Board of Directors,At-Large,2002-01-01T00:00:00.000000000,2003-12-31T00:00:00.000000000,false
186741,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,1994-12-31T00:00:00.000000000,false
19036,Seminole Boosters Board of Directors,At-Large,1981-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
19036,Seminole Boosters Board of Directors,At-Large,1986-01-01T00:00:00.000000000,1988-12-31T00:00:00.000000000,false
19036,Seminole Boosters Board of Directors,At-Large,1989-01-01T00:00:00.000000000,1991-12-31T00:00:00.000000000,false
274544059,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
91352,Seminole Boosters Board of Directors,Ex-Officio,2007-07-01T00:00:00.000000000,2008-06-30T00:00:00.000000000,false
97948,Seminole Boosters Board of Directors,Ex-Officio,1992-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,false
240605,Seminole Boosters Board of Directors,At-Large,1991-01-01T00:00:00.000000000,1992-12-31T00:00:00.000000000,true
240605,Seminole Boosters Board of Directors,Chair-Elect,1994-01-01T00:00:00.000000000,1994-12-31T00:00:00.000000000,true
240605,Seminole Boosters Board of Directors,Ex-Officio,1993-01-01T00:00:00.000000000,1993-12-31T00:00:00.000000000,true
240605,Seminole Boosters Board of Directors,Ex-Officio,1996-01-01T00:00:00.000000000,,true
783206,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1986-01-01T00:00:00.000000000,false
783206,Seminole Boosters Board of Directors,At-Large,1987-01-01T00:00:00.000000000,1989-12-31T00:00:00.000000000,false
239084,Seminole Boosters Board of Directors,Ex-Officio,1989-01-01T00:00:00.000000000,1994-12-31T00:00:00.000000000,false
239084,Seminole Boosters Board of Directors,Ex-Officio,1998-01-01T00:00:00.000000000,1998-12-31T00:00:00.000000000,false
751883,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1980-12-31T00:00:00.000000000,false
751883,Seminole Boosters Board of Directors,At-Large,1987-01-01T00:00:00.000000000,1989-12-31T00:00:00.000000000,false
712101,Seminole Boosters Board of Directors,At-Large,1983-01-01T00:00:00.000000000,1985-12-31T00:00:00.000000000,false
512286,Seminole Boosters Board of Directors,Ex-Officio,1981-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
512286,Seminole Boosters Board of Directors,Past Chairman,1986-01-01T00:00:00.000000000,2019-01-30T00:00:00.000000000,false
106458620,Seminole Boosters Board of Directors,At-Large,1985-01-01T00:00:00.000000000,1987-12-31T00:00:00.000000000,false
106458620,Seminole Boosters Board of Directors,At-Large,1988-01-01T00:00:00.000000000,1990-12-31T00:00:00.000000000,false
93547,Seminole Boosters Board of Directors,At-Large,1997-01-01T00:00:00.000000000,1998-12-31T00:00:00.000000000,false
1797,Seminole Boosters Board of Directors,At-Large,1994-01-01T00:00:00.000000000,1996-12-31T00:00:00.000000000,false
1797,Seminole Boosters Board of Directors,At-Large,1997-01-01T00:00:00.000000000,1999-04-20T00:00:00.000000000,false
106458615,Seminole Boosters Board of Directors,At-Large,1984-01-01T00:00:00.000000000,1986-12-31T00:00:00.000000000,false
768426,Seminole Boosters Board of Directors,Ex-Officio,2014-07-01T00:00:00.000000000,2017-06-30T00:00:00.000000000,false
61515,Seminole Boosters Board of Directors,At-Large,1981-01-01T00:00:00.000000000,1984-12-31T00:00:00.000000000,false
61515,Seminole Boosters Board of Directors,At-Large,2010-07-01T00:00:00.000000000,2013-06-30T00:00:00.000000000,false
61515,Seminole Boosters Board of Directors,At-Large,2013-07-01T00:00:00.000000000,2016-06-30T00:00:00.000000000,false
20120,Seminole Boosters Board of Directors,At-Large,1978-01-01T00:00:00.000000000,1981-12-31T00:00:00.000000000,false
292609435,Seminole Boosters Board of Directors,Ex-Officio,2001-01-01T00:00:00.000000000,2003-12-31T00:00:00.000000000,false
704026,Seminole Boosters Board of Directors,At-Large,1992-01-01T00:00:00.000000000,1994-12-31T00:00:00.000000000,false
704026,Seminole Boosters Board of Directors,At-Large,1995-01-01T00:00:00.000000000,1997-12-31T00:00:00.000000000,false
742703,Seminole Boosters Board of Directors,Ex-Officio,2003-01-01T00:00:00.000000000,2004-12-31T00:00:00.000000000,false
275935052,Seminole Boosters Board of Directors,At-Large,1989-01-01T00:00:00.000000000,1991-12-31T00:00:00.000000000,false
